"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Patterns of macroevolution among Primates inferred from a supermatrix of mitochondrial and nuclear DNA","https://scispace.com/paper/fabre-et-al-2009-patterns-of-macroevolution-among-primates-r8phz7hp","2009","","Molecular Phylogenetics and Evolution","P-.H. Fabre
A. Rodrigues
E.J.P. Douzery","10.1016/j.ympev.2009.08.004","https://scispace.com/records/fabre-et-al-2009-patterns-of-macroevolution-among-primates-r8phz7hp","1. Introduction:
 In this paper, we infer for the first time a large-scale supermatrix primate phylogeny and also provide support values for all primate clades, derived from a combination of mitochondrial and nuclear DNA markers. This supermatrix approach is subsequently compared with recent molecular works on Primates.

2. Molecular and taxonomic sampling:
 genus and family level) is represented by both nuclear and mitochondrial markers. The taxa Pithecia, Callithrix, Saguinus and Presbytis, were not studied enough to be included within this exhaustive phylogenetic framework and thus need to be sampled for future primates studies.

3. Taxa and gene sampling:
 Fifteen mitochondrial and 43 nuclear genes were chosen for their taxonomic sampling, coverage across species and their abilities to resolve primate relationships. However, in this study we focused on the 27 genes which maximise species sampling for nuclear and mitochondrial markers (Table ).","Here, we present a new primate phylogeny inferred from molecular supermatrix analyses of size 42 kb containing 70% of missing data, and representing 75% of primate species diversity. The supermatrix was analysed using a gene-partitioned maximum likelihood approach to obtain an exhaustive molecular phylogenetic framework. All clades recovered from recent molecular works were upheld in our analyses demonstrating that the presence of missing data did not bias our supermatrix inference. The resulting phylogenetic tree was subsequently dated with a molecular dating method to provide a timescale for speciation events. Results obtained from our relaxed molecular clock analyses concurred with previous works based on the same fossil constraints. The resulting dated tree allowed to infer of macroevolutionary processes among the primates. Shifts in diversification rate and speciation rates were determined using the SymmeTREE method and a birthdeath process. No significant asymmetry was detected for the primate clade, but significant shifts in diversification rate were identified for seven clades: Anthropoidea, Lemuriformes, Lemuridae, Galagidae, Callithrix genus, the Cercopithecinae and Asian Macaca. Comparisons with previous primate supertree results reveal that (i) there was a diversification event at the root of the Lemuriformes, (ii) a higher diversification rate is detected for Cercopithecidae and Anthropoidea and (iii) a shift in diversification is always recovered for Macaca genus. Macroevolutionary inferences and primate divergence dates show that major primate diversification events occurred after the Paleogene, suggesting the extinction of ancient primate lineages. © 2009 Elsevier Inc. All rights reserved."
"Molecular Evolutionary Dynamics of Cytochrome b in Strepsirrhine Primates: The Phylogenetic Significance of Third-Position Transversions","https://scispace.com/paper/yoder-et-al-1996-molecular-evolutionary-dynamics-of-kc6kkd7h","1996","","Molecular Biology and Evolution","Anne D. Yoder
Rytas Vilgalys
Maryellen Ruvolo","","https://scispace.com/records/yoder-et-al-1996-molecular-evolutionary-dynamics-of-kc6kkd7h","1. Keywords: cytochrome b, mtDNA, primates, lemurs, molecular evolution, phylogeny

2. Introduction:
 It is not surprising, then, that cytochrome b has been preferred to other, potentially suitable, molecular phylogenetic markers. We examine the potentially problematic characteristics of the gene (e.g., base frequency differentials, codon position attributes, evolutionary rates) and their effects, if any, on phylogenetic resolution of strepsirrhine primates.

3. The Mitochondrial Tree:
 Our results draw a more general conclusion regarding cytochrome b's usefulness as a phylogenetic marker: an initial observation of high intertaxonomic genetic distances should not necessarily condemn further plans for sequencing and phylogenetic analysis.","DNA sequences of the complete cytochrome b gene are shown to contain robust phylogenetic signal for the strepsirrhine primates (i.e., lemurs and lorises). The phylogeny derived from these data conforms to other molecular studies of strepsirrhine relationships despite the fact that uncorrected nucleotide distances are high for nearly all intrastrepsirrhine comparisons, with most in the 15%–20% range. Cytochrome b sequences support the hypothesis that Malagasy lemuriforms and Afro-Asian lorisiforms each comprise clades that share a sister-group relationship. A study (Adkins and Honeycutt 1994) of the cytochrome c oxidase subunit II (COII) gene placed one Malagasy primate (Daubentonia) at the base of the strepsirrhine clade, thereby suggesting a diphyletic Lemuriformes. The reanalysis of COII third-position transversions, either alone or in combination with cytochrome b third-position transversions, however, yields a tree that is congruent with phylogenetic hypotheses derived from cytochrome b and other genetic data sets."
"Phylogeography","https://scispace.com/paper/2005freelandphylogeographych5molecol-qw3qxu2i","2005","","Molecular Ecology","Joanna R. Freeland","","https://scispace.com/records/2005freelandphylogeographych5molecol-qw3qxu2i","1. Molecular Markers in Phylogeography:
 At the same time, mtDNA markers are limited by the fact that the mitochondrion effectively comprises a single locus. Reconstructing population histories from a single locus is less than ideal if that locus has been subjected to selection or some other process that may have given it an unusual history.

2. Molecular Markers in Phylogeography:
 Over the years the markers of choice, at least when studying animals, have been mitochondrial sequences t h ~t were obtained through either direct sequencing or RFLP analysis; in fact, prior to 2000, approximately 70 per cent of all phylogeographic studies were based on analyses of animal mitochondrial DNA .

3. Molecular Markers in Phylogeography:
 We will start by looking at some of the more traditional methods, which include molecular clocks and phylogenetic reconstructions.","Phylogeography seeks to identify which historical processes have most influenced the current distributions of species and their genetic lineages. Phylogeography therefore embraces aspects of both time (evolutionary relationships) and space (geographical distributions)."
"Species identification through mitochondrial rRNA genetic analysis","https://scispace.com/paper/yang-et-al-2014-species-identification-through-mitochondrial-psvrxxhg","2014","","SCIENTIFIC REPORTS","Li Yang
Zongqing Tan
Daren Wang
Ling Xue
Min-xin Guan
Taosheng Huang
Ronghua Li","10.1038/srep04089","https://scispace.com/records/yang-et-al-2014-species-identification-through-mitochondrial-psvrxxhg","1. Discussion:
 The mitochondrial 12S rRNA and/or 16S rRNA genes have been used as molecular markers to identify mammals, birds, shrimp, and other species using species-specific primers that amplify the 12S rRNA or 16S rRNA gene regions from mtDNA  .","Inter-species and intraspecific variations in mitochondrial DNA (mtDNA) were observed in a bioinformatics analysis of the mitochondrial genomic sequences of 11 animal species. Some highly conserved regions were identified in the mitochondrial 12S and 16S ribosomal RNA (rRNA) genes of these species. To test whether these sequences are universally conserved, primers were designed to target the conserved regions of these two genes and were used to amplify DNA from 21 animal tissues, including two of unknown origin. By sequencing these PCR amplicons and aligning the sequences to a database of non-redundant nucleotide sequences, it was confirmed that these amplicons aligned specifically to mtDNA sequences from the expected species of origin. This molecular technique, when combined with bioinformatics, provides a reliable method for the taxonomic classification of animal tissues."
"Species identification through mitochondrial rRNA genetic analysis","https://scispace.com/paper/yang-et-al-2014-species-identification-through-mitochondrial-4khrkici","2014","","SCIENTIFIC REPORTS","Li Yang
Zongqing Tan
Daren Wang
Ling Xue
Min-xin Guan
Taosheng Huang
Ronghua Li","10.1038/srep04089","https://scispace.com/records/yang-et-al-2014-species-identification-through-mitochondrial-4khrkici","1. Discussion:
 The mitochondrial 12S rRNA and/or 16S rRNA genes have been used as molecular markers to identify mammals, birds, shrimp, and other species using species-specific primers that amplify the 12S rRNA or 16S rRNA gene regions from mtDNA  .","Inter-species and intraspecific variations in mitochondrial DNA (mtDNA) were observed in a bioinformatics analysis of the mitochondrial genomic sequences of 11 animal species. Some highly conserved regions were identified in the mitochondrial 12S and 16S ribosomal RNA (rRNA) genes of these species. To test whether these sequences are universally conserved, primers were designed to target the conserved regions of these two genes and were used to amplify DNA from 21 animal tissues, including two of unknown origin. By sequencing these PCR amplicons and aligning the sequences to a database of non-redundant nucleotide sequences, it was confirmed that these amplicons aligned specifically to mtDNA sequences from the expected species of origin. This molecular technique, when combined with bioinformatics, provides a reliable method for the taxonomic classification of animal tissues."
"Mitochondrial Introgression and Incomplete Lineage Sorting Through Space and Time: Phylogenetics of Crotaphytid Lizards","https://scispace.com/paper/mcguire-et-al-2007-mitochondrial-introgression-and-av68a6fe","2007","","Evolution","Jimmy A. McGuire
Charles W. Linkem
Michelle S. Koo
Delbert W. Hutchison
A. Kristopher Lappin
David I. Orange
Julio Lemos-Espinal
Brett R. Riddle
Jef R. Jaeger","10.1111/j.1558-5646.2007.00239.x","https://scispace.com/records/mcguire-et-al-2007-mitochondrial-introgression-and-av68a6fe","1. 2:
 For more than two decades, mitochondrial genes have served as the markers of choice for phylogeographic and species-level phylogenetic analyses of animals .","We investigate the roles of mitochondrial introgression and incomplete lineage sorting during the phylogenetic history of crotaphytid lizards. Our Bayesian phylogenetic estimate for Crotaphytidae is based on analysis of mitochondrial DNA sequence data for 408 individuals representing the 12 extant species of Crotaphytus and Gambelia. The mitochondrial phylogeny disagrees in several respects with a previously published morphological tree, as well as with conventional species designations, and we conclude that some of this disagreement stems from hybridization-mediated mitochondrial introgression, as well as from incomplete lineage sorting. Unidirectional introgression of Crotaphytus collaris (western collared lizard) mitochondria into C. reticulatus (reticulate collared lizard) populations in the Rio Grande Valley of Texas has resulted in replacement of ancestral C. reticulatus mitochondria over approximately two-thirds of the total range of the species, a linear distance of ~270 km. Introgression of C. collaris mitochondria into C. bicinctores (Great Basin collared lizard) populations in southwestern Arizona requires a more complex scenario because at least three temporally separated and superimposed introgression events appear to have occurred in this region. We propose an ‘introgression conveyor' model to explain this unique pattern of mitochondrial variation in this region. We show with ecological niche modeling that the predicted geographical ranges of C. collaris, C. bicinctores, and C. reticulatus during glacial maxima could have provided enhanced opportunities for past hybridization. Our analyses suggest that incomplete lineage sorting and/or introgression has further confounded the phylogenetic placements of additional species including C. nebrius, C. vestigium, C. insularis, C. grismeri, and perhaps G. copei. Despite many independent instances of interspecific hybridization among crotaphytid lizards, the species continue to maintain morphological and geographic cohesiveness throughout their ranges."
"Incorporating Molecular Evolution into Phylogenetic Analysis, and a New Compilation of Conserved Polymerase Chain Reaction Primers for Animal Mitochondrial DNA","https://scispace.com/paper/simon-et-al-2006-incorporating-molecular-evolution-into-9fetowds","2006","","Annual Review of Ecology, Evolution, and Systematics","Chris Simon
Thomas R. Buckley
Francesco Frati
James B. Stewart
Andrew T. Beckenbach","10.1146/annurev.ecolsys.37.091305.110018","https://scispace.com/records/simon-et-al-2006-incorporating-molecular-evolution-into-9fetowds","1. THE PHYLOGENETIC USEFULNESS OF MITOCHONDRIAL DNA Mitochondrial Genes and Phylogeny:
 At the species level, mitochondrial gene data are by far the most widely used marker for assessing phylogenetic relationships. They offer some advantages over nuclear data for practical reasons (ease of actually obtaining the sequences, direct comparisons across different studies, and higher levels of variability).

2. Performance of Mitochondrial versus Nuclear Genes for Phylogeny:
 It is difficult to list all the different studies where markers from the two genomes have been used in conjunction, but examples can be found of either perfect congruence (e.g.,  or sharp conflict (e.g.,  of the phylogenetic signal.","DNA data has been widely used in animal phylogenetic studies over the past 15 years. Here we review how these studies have used advances in knowledge of molecular evolutionary processes to create more realistic models of evolution, evaluate the information content of data, test phylogenetic hypotheses, attach time to phylogenies, and understand the relative usefulness of mitochondrial and nuclear genes. We also provide a new compilation of conserved polymerase chain reaction (PCR) primers for mitochondrial genes that complements our earlier compilation."
"Gene flow and species delimitation","https://scispace.com/paper/petit-and-excoffier-2009-gene-flow-and-species-delimitation-xd6amiso","2009","","Trends in Ecology and Evolution","Rémy J. Petit
Laurent Excoffier","10.1016/j.tree.2009.02.011","https://scispace.com/records/petit-and-excoffier-2009-gene-flow-and-species-delimitation-xd6amiso","1. Opinion:
 Such markers, if selected against in the background of related hybridising species, should provide the most powerful tools to delimitate species (e.g. ). This expands our argument that high gene flow sensu lato (rapid gene circulation sensu Beurton ; see Box 1) is the key to effective species delimitation.","A defining feature of species is that their constituting populations are connected by gene flow. However, inter-specific gene flow (introgression) can affect species integrity. If some genome components were less prone to introgression than others, they should be particularly suitable to delimitate species. Recent simulation studies have predicted a negative correlation between intra- and interspecific gene flow, suggesting that markers associated with the most dispersing sex should better delimitate species. A review of studies of introgression in species with sex-biased dispersal largely confirms this prediction. Hence, species delimitation should be more effective with markers experiencing high levels of gene flow, a simple but not widely appreciated prediction."
"Multiple nuclear loci reveal patterns of incomplete lineage sorting and complex species history within western mouse lemurs (Microcebus)","https://scispace.com/paper/heckman-et-al-2007-multiple-nuclear-loci-reveal-patterns-of-sgfom0ih","2007","","Molecular Phylogenetics and Evolution","Kellie L. Heckman
Carol L. Mariani
Rodin Rasoloarison
Anne D. Yoder","10.1016/j.ympev.2007.03.005","https://scispace.com/records/heckman-et-al-2007-multiple-nuclear-loci-reveal-patterns-of-sgfom0ih","1. Individual nuclear markers-phylogenies:
 The tree was constructed using three combined mitochondrial markers: cytochrome b, cytochrome oxidase I, and hypervariable region I.

2. Combined analyses:
 When the nuclear markers are combined with the mtDNA markers for a total of 5480 bp, all species boundaries form the same haplotype clades as the mitochondrial tree (Fig. , 4), and show similar relationships among species, excluding the position of M. ravelobensis and the relative positions of M. rufus II (M.

3. Discussion:
 There is a growing realization that mtDNA gene trees should be supplemented with other loci for resolving the relationships among species . In this study, several nuclear loci were used to test species boundaries and to determine the phylogenetic relationships of mouse lemurs in the genus Microcebus.","Mouse lemurs (genus Microcebus) are nocturnal primates endemic to the island of Madagascar. Until recently, they were classified as two species, one from eastern and one from western Madagascar. Previously published analyses of morphometric and mitochondrial DNA data show strong support for the recognition of more than eight species, however. Here, we test the eight-species hypothesis with DNA data derived from four independently segregating nuclear loci. We find many areas of congruence between the mitochondrial and nuclear data, but incomplete lineage sorting and low mutation rates limit the phylogenetic resolution of the nuclear data. Even so, the nuclear loci unanimously find evidence for three deeply diverged lineages within the mouse lemur radiation: one that is congruent with the mtDNA ""southern clade"", another that is congruent with the mtDNA ""northern clade"", and one monospecific branch comprised of the species Microcebus ravelobensis. The latter result in particular emphasizes the need for careful biological study of this species. ©2007 Elsevier Inc. All rights reserved."
"Nuclear DNA analyses in genetic studies of populations: practice, problems and prospects","https://scispace.com/paper/zhang-and-hewitt-2003-nuclear-dna-analyses-in-genetic-iayw5vyp","2003","","Molecular Ecology","De-Xing Zhang
Godfrey M. Hewitt","","https://scispace.com/records/zhang-and-hewitt-2003-nuclear-dna-analyses-in-genetic-iayw5vyp","1. Introduction:
 In the large body of recent work employing molecular markers, the aforementioned two classes of DNA markers are clearly predominant. Taking the new discipline 'phylogeography', for example, as pointed by , some 70% of studies carried out thus far involved analyses of animal mitochondrial DNA.","Population-genetic studies have been remarkably productive and successful in the last decade following the invention of PCR technology and the introduction of mitochondrial and microsatellite DNA markers. While mitochondrial DNA has proven powerful for genealogical and evolutionary studies of animal populations, and microsatellite sequences are the most revealing DNA markers available so far for inferring population structure and dynamics, they both have important and unavoidable limitations. To obtain a fuller picture of the history and evolutionary potential of populations, genealogical data from nuclear loci are essential, and the inclusion of other nuclear markers, i.e. single copy nuclear polymorphic (scnp) sequences, is clearly needed. Four major uncertainties for nuclear DNA analyses of populations have been facing us, i.e. the availability of scnp markers for carrying out such analysis, technical laboratory hurdles for resolving haplotypes, difficulty in data analysis because of recombination, low divergence levels and intraspecific multifurcation evolution, and the utility of scnp markers for addressing population-genetic questions. In this review, we discuss the availability of highly polymorphic single copy DNA in the nuclear genome, describe patterns and rate of evolution of nuclear sequences, summarize past empirical and theoretical efforts to recover and analyse data from scnp markers, and examine the difficulties, challenges and opportunities faced in such studies. We show that although challenges still exist, the above-mentioned obstacles are now being removed. Recent advances in technology and increases in statistical power provide the prospect of nuclear DNA analyses becoming routine practice, allowing allele-discriminating characterization of scnp loci and microsatellite loci. This certainly will increase our ability to address more complex questions, and thereby the sophistication of genetic analyses of populations."
