"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevant Excerpt","Abstract"
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/updated-galago-malawi-application-karlsson-bearder-paf-2009-0klvgm0l","1. Abstract:
 This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010.

2. Abstract:
 Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""

3. Summary:
 This study aims to establish baseline data on presence/absence, taxonomic status, geographic spread, habitat preferences, and conservation status of four target populations in Malawi: Malawi galago, Galagoides nyasae;","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
"Identification, Abundance, and Behaviour of Galagos (Primates, Galagidae) in the Shire Highlands, Malawi","https://scispace.com/paper/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","2005","","","Graham Edward Wallace","","https://scispace.com/records/wallace-identification-abundance-and-behaviour-of-galagos-x6a4u7gw","1. BACKGROUND:
 Reviews of galago diversity highlight a lack of data for acknowledged species as well as potential new forms  and, in many cases, information regarding species-specific abundance, behaviour, ecology, and conservation status is incomplete or non-existent .

2. BACKGROUND:
 Given that Malawi's Shire Highlands are characterised by exceptionally high levels of human disturbance in contracting forest and woodland habitat , it may be anticipated that galagos across the region are subjected to considerable and increasing ecological pressure and warrant conservation attention.

3. INTRODUCTION:
 G. nyasae, and   G. granti) appear to replace each other sequentially from southern and western Tanzania through Malawi and into Mozambique, although each may co-occur with other species of galagos within their range .","Although galagos are extensively distributed across sub-Saharan Africa as a taxonomic group, many species are only partially described both in terms of and throughout their range. In particular, there is a lack of data for species occurring in the Shire Highlands of Malawi, and one form at Thyolo Mountain awaits description. The aims of the study where to address existing data deficiencies by (i) identifying and describing the species of galago occurring in Malawi's Shire Highlands, (ii) assessing their distribution and relative abundance, (iii) providing insights into their behaviour, and (iv) gathering information with regard to human impacts that impinge upon their current and future conservation status. Assessment of the inter-relationships between these factors is fundamental to ensuring the long-term viability of galago populations in the region. Vocalisation analysis, compilation of call profiles, descriptions of morphology, systematic surveys, behaviour observations, and assessments of substrate-use were completed to identify two species of galago in the Shire Highlands (Galagoides granti and Otolemur crassicaudatus), determine their distribution and relative abundance on the basis of encounter rates, construct activity budgets, and compile substrate-use profiles that reflect habitat preferences across the region. Vocal repertoires were compiled for each species, and preliminary information regarding human impacts and disturbance was acquired. The results of the study not only contribute to clarification of galago diversity but also provide valuable preliminary data fundamental to management and conservation of galagos across the Shire Highlands."
"Application to the PRIMATE ACTION FUND for the research project: “Identification, distribution, taxonomy, and conservation of three populations of galagos (Primates, Galagidae) in Malawi: Malawi galago (Galagoides nyasae)& Mt. Thyolo galago, Mulanje Mountains and Thyolo Mountains; Kalwe small galago (Galagoides sp. nov. 1), Kalwe Forest Reserve; and the Misuku Hills galago (Galagoides sp.), Misuku Hills.""","https://scispace.com/paper/paf-karlson-fy10-agreement-4frn5wm9","2009","","PRIMATE ACTION FUND","Johan Karlsson","","https://scispace.com/records/paf-karlson-fy10-agreement-4frn5wm9","1. Abstract:
 This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010.

2. Summary:
 This study aims to establish baseline data on presence/absence, taxonomic status, geographic spread, habitat preferences, and conservation status of four target populations in Malawi: Malawi galago, Galagoides nyasae;

3. Summary:
 The findings from this project are expected to give strong indications on the taxonomic and ecological status of three, virtually unknown, populations of galagos.","African nocturnal primates of the family Galagidae (galagos) display species-specific sets of vocalizations that can contain up to 25 structurally distinct calls. This fact has been used to identify populations in the wild and has been especially effective when studying and the small (<200 grams) and elusive members of the Galagoides genera. There are currently 11 species of Galagoides recognized but the taxonomic rank of at least three is uncertain due to lack of behavioral and genetic data. Five Galagoides species can be found in Malawi, where of four are endemic: Malawi galago (Galagoides nyasae), Mt. Thyolo galago (G. sp. nov. 2), Kalwe small galago (Galagoides sp. nov. 1), and the Misuku Hills galago (Galagoides sp.), but their taxonomic rank is highly uncertain or undecided. The current conservation status of these three populations is tentative since the studies that identified them dates back 20 (Kalwe small and Misuku Hills galago) to 120 (Malawi galago) years, and no further field study has been carried out since. In the light of the described data deficiency, this study suggests a survey of the above described Galagoides species' type localities, to record each population's vocal repertoire, map their geographical distribution, local abundance, and establish their basic ecological preferences. The baseline data derived from this study will help to clarify the taxonomic status, the presence and abundance, the ecological requirements, and allow an up-to-date analysis of their conservation status. This study will further underpin a long-term study of Malawi's (and Tanzania's) Galagoides species phylogeny and conservation status that is planned to be undertaken by the Nocturnal Primate Research Group, Oxford Brookes University, starting in 2010."
"Hidden in the Dark: A Review of Galagid Systematics and Phylogenetics","https://scispace.com/paper/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","2024","","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://scispace.com/records/penna-and-pozzi-2024-hidden-in-the-dark-a-review-of-galagid-piufk1sg","1. Bridging systematics and conservation:
 Careful investigation of genetic diversity across the distribution of galagos will likely reveal narrow-range genotypically and morphologically unique lineages that may require special protection or management.

2. Authors: Anna Penna,Luca Pozzi (Corresponding Author),Galago • Bushbaby,Taxonomy • Systematics,Phylogenetics • Africa","An accurate representation of species diversity is critical in primatology; most of the questions in evolutionary biology, ecology, and conservation hinge on species as a fundamental unit of analysis. Galagos are among the least-known primates. Because of their cryptic morphology, broad distribution, and sampling challenges arising from elusive habits and political instability, substantial knowledge gaps about their taxonomy, evolutionary history, and biogeography remain. Despite these limitations, recent research that integrated field surveys, acoustic, morphological, and genetic analyses helped us to better understand the taxonomic diversity of this primate group. In this paper, we (1) review the current status of galagid taxonomy; (2) synthesize our current understanding of their phylogenetics, origins, and biogeography; and (3) explore current and future approaches to elucidate galagid cryptic species diversity. The onset of galago systematics dates back to the early 19th century, with taxonomic descriptions following natural history expeditions and comparative anatomy studies. Although morphology has historically dominated systematic research on galagos, the coupling of acoustic analyses with genetic data has revolutionized the field. Taxonomic rearrangements include the discovery of new species in the wild (e.g., Galagoides kumbirensis) and the description of a new genus (Paragalago). Technological advances have allowed the collection of acoustic data in remote areas, and molecular techniques have the potential to help researchers fill important geographic gaps. Improving the resolution of galago species diversity also has implications for the conservation of wild populations, as a better understanding of species boundaries and ranges can aid in the implementation of conservation strategies."
"Molecular phylogeny of East African dwarf galagos (Galagoides spp.)","https://scispace.com/paper/rwpgrantapplication-j-karlsson-2011-47gf2wi3","2011","","","Johan Karlsson","","https://scispace.com/records/rwpgrantapplication-j-karlsson-2011-47gf2wi3","1. Objective:
 We therefore suggest a survey of specific localities in the Eastern Afromountain Biodiversity Hotspots of Tanzania, Kenya and Malawi to collect genetic material from all known and all presumptive dwarf galago species (table 1; see table 2 for timeline for fieldwork).","Non-human primate species belong to a group of generally well studied mammals. One of the more pertinent exceptions is the rarely seen but often heard African nocturnal primate, the dwarf galago (genus Galagoides). As with many nocturnal animals, dwarf galagos have a cryptic morphology that confounds full understanding of their true species diversity. To fully quantify the extent of the taxonomic variety of the genus, it is necessary to conduct an assessment of the genetic diversity in an evolutionary perspective, i.e. create a genetically based phylogeny. However, current records of dwarf galago DNA are very patchy and are mostly derived from captive populations, leaving incomplete phylogenetic understanding. Differences between species are often hard to discern, especially when it comes to cryptic species such as dwarf galagos. Morphology and behavior cannot always be used to differentiate between species and cannot, with any high accuracy, reveal ancestral relationships between species. We therefore suggest a survey of specific localities in the Eastern Afromountain Biodiversity Hotspots of Tanzania, Kenya and Malawi to collect genetic material from all known and all presumptive dwarf galago species (table 1; see table 2 for timeline for fieldwork). The intent is to construct the most comprehensive phylogeny made to date over the genus Galagoides derived from genetic markers. We believe the results from this study will prove pivotal for future research and conservation prioritizing of dwarf galagos."
"PHYLOGENETIC AND POPULATION GENETIC STUDIES OF NOCTURNAL PRIMATES IN AFRICAN FOREST COMMUNITIES (F.382E)","https://scispace.com/paper/bearder-and-honess-phylocenetic-and-population-genetic-3rfuzy0j","1994","","The Leverhulme Trust Annual Report No.2","Simon K Bearder
Paul E Honess","","https://scispace.com/records/bearder-and-honess-phylocenetic-and-population-genetic-3rfuzy0j","1. INTRODUCTION:
 At the end of our second year of the project, fieldwork in Tanzania has indicated a remarkable diversity of galago populations, including previously unrecognised species in exmmely threatened habitats. All the populations examined to date have been found in tropical, evergreen forest in coastal, lowland and montane locations.

2. Abstract:
 Several of the forests contained species that we did not recognise, and these have been earmarked for closer study. So far we have located four previously unrecognised galago species in Tanzania alone, and we are extending the scope of our work to other parts of Africa.

3. INTRODUCTION:
 It is believed that the often fragmented and isolated nature of these forests has led to a radiation of both the flora and fauna that they contain The initial findings of this project show that the galagos of these forests are no exception, and in some mas may conmbute to the extraordinary levels of endemism encountered.","Galagos, or bushbabies are nocturnal prosimian primates which are very widely distributed in Africa south of the Sahara. For many years only six different species were recognised but, by 1986, most authorities accepted eleven species. The reason for this discrepency was that some species looked almost identical but were found to diverge quite dramatically in their 'mate recognityion systems' (calling patterns, reproductive anatomy, chemical communication etc.). As a result they did not interbreed. This project forms part of a larger programme designed to: a) update the taxonomy of nocturnal cryptic primates; b) reconstruct patterns of speciation and geographical expansion or contraction; c) identify sites of special interest and importance for conservation; d) indicate priorities for sites and species; and d) encourage conservation initiatives and training at a grass-roots level. Our fieldwork set out to examine the genetic and ecological distinctions between a number of galago populations, including species which shared the same habitat. We are now in the process of comparing mitochondrial DNA from blood and hair samples to gain a measure of genetic distance between populations, as well as an idea of genetic variabliity within isolated and non-isolated populations. At the same time we have developed a powerful behavioural disciminator called 'vocal fingerprinting'. Each species is found to have a distinctive set of loud calls that remains more-or-less constant from one population to another irrespective of the extent of its geographical range. Quantitative measurement of call structure from sonagrams and oscillograms gives an independent measure of variation between populations and provides a highly practical way of identifying divergent forms and previously unrecognised species. In the last twelve months this work has produced dramatic results that we had not anticipated. Populations that we initially identified as allopatric forms of the same species turned out to be distinct species, with diagnostic differences in their vocal fingerprints, habitat use and behaviour. Several of the forests contained species that we did not recognise, and these have been earmarked for closer study. So far we have located four previously unrecognised galago species in Tanzania alone, and we are extending the scope of our work to other parts of Africa. The main tasks now are to characterise and name each different species; to distinguish those which are new to science from those which have been wrongly lumped together under existing specific and subspecific names; and to assess their conservation status."
"Identification, distribution, taxonomy, and conservation status of three populations of galagos (Primates, Galagidae) in Malawi.","https://scispace.com/paper/ptes-application-15-dec-2006-j-karlsson-u4tk4zi3","2006","","","Johan Karlsson","","https://scispace.com/records/ptes-application-15-dec-2006-j-karlsson-u4tk4zi3","1. Abstract:
 Identification, distribution, taxonomy, and conservation status of three populations of galagos (Primates, Galagidae) in Malawi.

2. Objectives:
 This information is closely linked to assessments of biodiversity, but is also vital for understanding galago ecology and habitat requirements, leading to a better understanding of the geographic range of each taxon and providing a basis for future conservation management plans.

3. Study subjects:
 Three widely separated galagos are thought to be endemic to Malawi:","Galagos (Primates, Galagidae) are small (150 – 2000 grams), nocturnal primates, that can be found over most parts of sub-Saharan Africa (Groves 2001; Grubb et al. 2003). While a few species are very widely distributed, most are confined to small and isolated regions and long term research is limited to only four countries (South Africa, Tanzania, Kenya, and Gabon - Nekaris & Bearder 2007; Grubb et al. 2003). The IUCN Red List (IUCN 2006) lists only 62.5% of the galago species that are now recognised (15 of 24 - Grubb et al. 2003) and two taxa (Galagoides sp. nov. 3 and G. rondoensis) are listed by the IUCN/SSC Primate Specialist Group among the Top 25 Most Endangered Primates (Mittermeier et al. 2006a, b). The lack of research on this group is, therefore, especially alarming. There is an urgent need to conduct more baseline and long-term research on cryptic species that are currently overlooked in relation to conservation protection programmes, and to widen the geographical coverage of such efforts.
Malawi is believed to have five species of galagos, of which two (Galagoides nyasae and G. sp. nov 1) are not listed in the IUCN Red List and one (Galagoides granti) is registered as Data Deficient (IUCN 2006). The only previous scientific studies of galagos in Malawi are two short term field studies (Courtenay & Bearder 1989; Wallace 2005) limited to very small geographical areas. With a current annual deforestation rate in Malawi at 3.5% (WWF 2006) it is clear that all forest species now face severe threats to their future existence. Establishment of a scientific baseline on the presence and abundance of key indicator species will enhance recognition of the problem and help to establish protection strategies for the most vulnerable and important of the remaining forest habitats."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-pdf-fk8jpag7","1. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;

2. 77).:
 As part of the discussion of the conservation of the habitat of Tanzanian galagos, it is ' necessary to examine the different levels of legal protection afforded to Tanzania forests.

3. THE CONSERVATION OF TANZANIAN GALAGOS AND THEIR:
 ""Low Risk: The species faces a low risk of extinction at the present time. It has a wide dishibution and broad ecological tolerances and a total population is probably >100,000.""","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"SPECIATION AMONG GALAGOS (PRIMATES, GALAGIDAE) IN TANZANIAN FORESTS","https://scispace.com/paper/1996honessspeciationgalagosphdthesis-wiwdh4b7","1996","","Oxford Brookes University","Paul Edward Honess","","https://scispace.com/records/1996honessspeciationgalagosphdthesis-wiwdh4b7","1. 77).:
 This galago of uncertain taxonomic status  appears to have a distribution that is limited to areas of southeastern Tanzania ;

2. 77).:
 As part of the discussion of the conservation of the habitat of Tanzanian galagos, it is ' necessary to examine the different levels of legal protection afforded to Tanzania forests.

3. MUSEUM STUDIES:
 There is currently no active zoo-based conservation work being conducted on galagos.","Past field studies on nocturnal primates in Africa have focused on species occupying woodland in southern Africa and primary rain forest in West and Central Africa. Relatively little is known about the galagos (Primates, Galagidae) inhabiting the fragmented, evergreen forests of East Africa. The development of new field techniques, coupled with technological advances has enabled more accurate identification of species based on species-specific calls. Nocturnal surveys during five periods of field work (July-August, 1990; August-November, 1992; February-May, 1993; July-November, 1993; July-November, 1994) in isolated coastal and Eastern Arc Mountain forests in Tanzania indicate that considerable speciation has taken place among galagos in these forest 'islands'. The loud calls of galagos, recorded during surveys and computer analysed, provide a vocal profile that is consistent within species and which can be used in a taxonomic context to identify species. This approach, founded on an examination of a major element of the Specific-Mate Recognition System (Recognition Concept of Species: Paterson, 1985), has resulted in the identification and naming of 4 new species of galago in Tanzania (Galagoides granti, G. udzungwensis, G. orinus, G. rondoensis). The identification of these species is supported by evidence of differences in other aspects of vocalisations as well as in reproductive and hair morphology and lifestyles. These discoveries suggest the true number of species of both galagos and other secretive, nocturnal, forest-dwelling mammals may have been seriously underestimated. At the start of this study 11 galago species were recognised (Nash et al., 1989), by the end this has increased to at least 17. These species are placed in a new classification of the family Galagidae, based on vocal profile differences. An assessment of the conservation threat status of Tanzanian galago indicates that the 4 new species are all of at least IUCN Red List Vulnerable status. This is primarily due to restricted distribution in small, fragmented and isolated habitats which themselves are under considerable threat. Recommendations are made concerning the conservation of galagos and their habitats. Increasing knowledge of the high levels of endemism in the evergreen forests of Tanzania further highlights the biological value of these areas in a region where considerable conservation effort is often restricted to savannah habitats and their large mammal occupants."
"Galago gallarum","https://scispace.com/paper/galago-potto-profiles-from-mammals-of-africa-draft-aug-2006-z9bdahte","2004","","","Thomas M. Butynski
Yvonne A. de Jong","","https://scispace.com/records/galago-potto-profiles-from-mammals-of-africa-draft-aug-2006-z9bdahte","1. Conservation:
 One of the most widely distributed and adaptable of all the galagos. Not in danger of extinction.

2. Conservation:
 In addition, these galagos are killed because they are considered an agricultural pest in several areas and, on Inguja I., they are looked on as symbols of bad luck and evil .

3. Geographic Variation:
 Galago moholi. Northern limit is L. Victoria, central Tanzania, and N Mozambique. Smaller.","Medium-sized galago with whitish face and throat, and contrasting dark brown eye-rings, and black ears and tail. Loud advertisement call distinctive. Sexes alike in colour. No data available on sexual dimorphism, but males probably slightly (10-20%) heavier than females as in other Galago spp. (Izard & Nash 1988, Harcourt & Bearder 1989). [Olson has some sexual dimorphism data.] Head broad. Muzzle short, almost black over distal half. Nose black, slightly up-turned at tip. Chin light pink. Face, throat, chest and belly pelage off-white, with grayish tint on belly. Interocular stripe off-white, broad. Eye-rings dark brown, narrow, sometimes incomplete laterally. Black ‘tear line' from inner corner of eyes down side of muzzle. Eyelids greyish. Eyes large, orange-brown. Eye shine bright orange. Ears bare, shiny black skin front and dull black skin back. Dorsal pelage short (not woolly), variable, from light sandy brown to buff to fulvous, lighter on head. Dorsal hairs dark grey over basal half, buff near middle followed by whitish sub terminal band and blackish tip. Shoulders buff or light rufous. Outer forelimbs and hands buff to sandy-brown. Hips, outer hindlimbs and feet yellowish-buff. Digits blackish. Tail mostly black but dark brown or reddish towards base. Hand (volar) pads distinctive (Anderson 1999). Young similar to adult in colour."
