"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Hidden in the dark: A review of galagid systematics and phylogenetics","https://scispace.com/paper/hidden-in-the-dark-a-review-of-galagid-systematics-and-an33f2bfw6","2024","Journal Article","International Journal of Primatology","Anna Penna
Luca Pozzi","10.1007/s10764-024-00430-w","https://par.nsf.gov/servlets/purl/10510328","… only other galago species that strongly rely on gum feeding, the spectacled galago (Galago … The genus Galagoides includes some of the smallest galago species (Gd. demidoff ~45 g; …",""
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://link.springer.com/content/pdf/10.1186/1471-2148-14-72.pdf","… Eastern Arc Mountains of Kenya and Tanzania; and Galagoides rondoensis in a few isolated patches of coastal forest in Tanzania. However, the validity of the genus Galagoides is still …","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group."
"A new genus for the eastern dwarf galagos (Primates: Galagidae)","https://scispace.com/paper/a-new-genus-for-the-eastern-dwarf-galagos-primates-galagidae-41i8wkex5w","2017","Journal Article","Zoological Journal of the Linnean Society","Judith C. Masters
Judith C. Masters
Fabien Génin
Sébastien Couette
Sébastien Couette
Colin P. Groves
Stephen D. Nash
Massimiliano Delpero
Luca Pozzi
Luca Pozzi","10.1093/ZOOLINNEAN/ZLW028","https://iris.unito.it/bitstream/2318/1618044/2/Paragalago_ZJLS_accepted_4aperto.pdf","… subsumed under Galagoides (Galagoides cocos, Galagoides granti, Galagoides orinus, Galagoides rondoensis and Galagoides zanzibaricus) be … All three localities are in Tanzania. …",""
"Taxonomy, distribution, and conservation status of three species of dwarf galagos (Galagoides) in Eastern Africa","https://scispace.com/paper/taxonomy-distribution-and-conservation-status-of-three-f2emhelj4e","2006","Journal Article","Primate Conservation","Thomas M. Butynski
Yvonne A. de Jong
Andrew Perkin
Simon K. Bearder
Paul Honess","10.1896/0898-6207.21.1.63","https://bioone.org/journals/primate-conservation/volume-2006/issue-21/0898-6207.21.1.63/Taxonomy-Distribution-and-Conservation-Status-of-Three-Species-of-Dwarf/10.1896/0898-6207.21.1.63.pdf","… In th s paper we ( ) rev ew the nomenclatural h story for the Kenya coast galago, (2) prov de new nformat on that confirms that ‘cocos’ s the val d name for th s recently rev ved spec es, (3…","This paper reviews the complicated nomenclatural history for the Kenya coast galago, Galagoides cf. cocos, and exam- ines whether 'cocos' is the valid species name for this recently resurrected taxon. This paper also reviews the phenotypic and vocal differences among G. cocos; the Zanzibar galago (Galagoides zanzibaricus zanzibaricus); the Udzungwa galago (Galagoides zanzibaricus udzungwensis); and the Mozambique galago (Galagoides granti), as well as their geographic ranges and conserva- tion status. The following are among the findings: (1) ' Galagoides cocos' is the name that should be applied to the Kenya coast galago; (2) in the field, the loud calls of these three species are diagnostic and remain the best means for identification; (3) there is a suite of phenotypic characters that, when taken together, can be used to distinguish among these three species when in the hand or viewed in the field in good light at close range; (4) G. z. zanzibaricus is phenotypically distinct from G. z. udzungwensis; (5) the three species are parapatric or, perhaps, narrowly sympatric; (6) the three species are endemic to the coastal forests of eastern Africa with G. cocos in the north (Kenya and northeastern Tanzania), G. zanzibaricus in Tanzania, and G. granti from southern Tanzania to southern Mozambique; and (7) none of the three species is threatened at this time, although G. z. zanzibaricus meets"
"Species boundaries within morphologically cryptic galagos: Evidence from acoustic and genetic data","https://scispace.com/paper/species-boundaries-within-morphologically-cryptic-galagos-3wjx3ad1ud","2019","Journal Article","Folia Primatologica","Luca Pozzi
Todd R. Disotell
Simon K. Bearder
Johan Karlsson
Andrew Perkin
Marco Gamba","10.1159/000496972","","… Species are the fundamental unit of study in phylogeny, behaviour, ecology and … Paragalago cocos in southern Somalia and Kenya, Paragalago zanzibaricus in mainland Tanzania …","Describing primate biodiversity is one of the main goals in primatology. Species are the fundamental unit of study in phylogeny, behaviour, ecology and conservation. Identifying species boundaries is particularly challenging for nocturnal taxa where only subtle morphological variation is present. Traditionally, vocal signals have been used to identify species within nocturnal primates: species-specific signals often play a critical role in mate recognition, and they can restrict gene flow with other species. However, little research has been conducted to test whether different ""acoustic forms"" also represent genetically distinct species. Here, we investigate species boundaries between two putative highly cryptic species of Eastern dwarf galagos (Paragalago cocosand P. zanzibaricus). We combined vocal and genetic data: molecular data included the complete mitochondrial cytochrome b gene (1,140 bp) for 50 samples across 11 localities in Kenya and Tanzania, while vocal data comprised 221 vocalisations recorded across 8 localities. Acoustic analyses showed a high level of correct assignation to the putative species (approx. 90%), while genetic analyses identified two separate clades at the mitochondrial level. We conclude that P. cocos and P. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Late Pliocene while fragmented in isolated populations in the eastern forests."
"Galagidae (Lorisoidea, Primates)","https://scispace.com/paper/galagidae-lorisoidea-primates-in3dyz78ow","2011","Book Chapter","","Terry Harrison","10.1007/978-90-481-9962-4_5","https://www.researchgate.net/profile/Terry-Harrison-4/publication/227209978_Galagidae_Lorisoidea_Primates/links/591c5f420f7e9b7727da0ab6/Galagidae-Lorisoidea-Primates.pdf","… Humbu Formation (∼1.3–1.7 Ma) at Peninj, Tanzania, which is consistent in morphology and only slightly smaller than that of extant Galago senegalensis. Finally, Harris et al. (2003) …","An additional specimen of a fossil galagid was recently recovered from the Upper Laetolil Beds at Laetoli in northern Tanzania. This new find represents the most complete specimen of a galagid known from Laetoli, and comprises associated partial right and left mandibular corpora. The galagid material from Laetoli can all be attributed to a single species, previously referred to as Galago sadimanensis. However, the taxon is sufficiently distinct from all extant galagids, as well as stem galagids from the Miocene of East Africa, to be placed in its own genus, Laetolia. The fossil record of galagids from the Pliocene of Africa is exceedingly poor, and Laetolia sadimanensis represents the best-known form. Laetolia can be distinguished from other galagids by its unique suite of morphological features. The stout and vertical implantation of P2, the steeply inclined and robust symphysis, and the relatively deep corpus are all specialized features that are probably functionally linked. However, Laetolia has a less molariform P4 than extant galagids, and it can be inferred to represents their primitive sister taxon. Based on molecular clock estimates, extant galagids shared a last common ancestor during the late Oligocene. It is interesting, therefore, to discover a sister taxon of extant galagids surviving in East Africa until at least the Pliocene, contemporary with more advanced crown members of the clade. From a paleoecological perspective, the occurrence of fossil galagids at Laetoli implies the presence of habitats with at least a sparse coverage of trees and/or thorn bush."
"Phylogeography and evolutionary lineage diversity in the small-eared greater galago, Otolemur garnettii (Primates: Galagidae)","https://scispace.com/paper/BAezYRdAwHsJ","","","","A Penna
R Dillon
SK Bearder","","https://par.nsf.gov/servlets/purl/10647470","… mainland Tanzania do not constitute two independent lineages. A dated phylogeny suggests … According to our dated phylogeny, the divergence of this group from all remaining samples …",""
"Evolutionary history, systematics, and species boundaries in galagos (Primates: Galagidae)","https://scispace.com/paper/KfzZ_wstyi0J","","","","L Pozzi","","","… novel information on the phylogeny and species boundaries … and a phylogeny that accurately reflect galago diversity and 2… Galagoides zanzibaricus (Tanzania) and Galagoides granti (…",""
"A giant among dwarfs: a new species of galago (Primates: Galagidae) from Angola","https://scispace.com/paper/a-giant-among-dwarfs-a-new-species-of-galago-primates-x2xt8i6re3","2017","Journal Article","American Journal of Physical Anthropology","Magdalena S. Svensson
Elena Bersacola
Michael S L Mills
Rachel A. Munds
Vincent Nijman
Andrew Perkin
Judith C. Masters
Sébastien Couette
K. Anne-Isola Nekaris
Simon K. Bearder","10.1002/AJPA.23175","https://sebastiencouette.wordpress.com/wp-content/uploads/2018/11/svensson_et_al-2017-american_journal_of_physical_anthropology-3.pdf","… galago, Galagoides kumbirensis sp. nov. The new species has a loud and characteristic crescendo call, used by other Galagoides … Galagoides kumbirensis sp. nov. is also distinguished …","Objectives
Based on vocalization recordings of an unknown galago species, our main objectives were to compare morphology and call structure with known closely-related taxa and describe a new species of galago.

Materials and methods
We conducted field surveys in three forest habitats along the escarpment region in western Angola (Kumbira Forest, Bimbe Area, and Northern Scarp Forest), and examined galago specimens from museums worldwide. We digitized and analyzed calls using Avisoft SASLab Pro software. We also compared museum specimens from Angola with other Galago and Galagoides specimens, and conducted comparative analyses (ANOVA and between group principle component analysis) based on a set of twelve linear measurements of skulls and teeth.

Results
We describe the new species to which we give the name Angolan dwarf galago, Galagoides kumbirensis sp. nov. The new species has a loud and characteristic crescendo call, used by other Galagoides spp. (sensu stricto) in West Africa to attract companions and repel rivals. However, this call shows species-typical differences from its closest relatives. Galagoides kumbirensis sp. nov. is also distinguished by differences in the skull morphology, pelage color and facial markings, as well as a larger body size, similar to that of Galago moholi, which is not known to be sympatric.

Conclusion
This discovery points to the importance of Angolan forests as refuges for endemic biodiversity. These forests are under severe threat from overexploitation, and there is an urgent need to establish conservation measures and designate protected areas."
"The role of forest expansion and contraction in species diversification among galagos (Primates: Galagidae)","https://scispace.com/paper/the-role-of-forest-expansion-and-contraction-in-species-4yz1u3uoec","2016","Journal Article","Journal of Biogeography","Luca Pozzi
Luca Pozzi","10.1111/JBI.12846","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/jbi.12846","… The eastern clade of Galagoides … for Galago was more difficult to reconstruct, possibly because of the current widespread distribution of two species, Galago senegalensis and Galago …","Aim
Here, I investigate galagid diversification and current distribution in the context of major climatic and geological events in sub-Saharan Africa. Given their widespread distribution and presence in a large range of diverse habitats, galagids represent an excellent group to investigate the role of forest contraction and expansion on biological diversification in sub-Saharan Africa.

Location
Sub-Saharan Africa (Afrotropical Region).

Methods
I assembled a supermatrix including 53 nuclear loci and three mitochondrial markers for 94% of the galagid species currently recognized. Bayesian and maximum likelihood methods were used to infer phylogenetic relationships and times of divergence within the family. Ancestral ranges were estimated using several methods, including ‘BioGeoBEARS’ and rasp.

Results
Phylogenetic analyses corroborated previous results regarding the evolutionary history of this family: (1) early origin of the family soon after the Eocene-Oligocene boundary; (2) dwarf galagos (Galagoides spp.) represent a polyphyletic group with two well-defined clades, one in central-west Africa and one in the east; and (3) divergences within galagids are relatively old with most genera already present by the Late Miocene. The biogeographical analysis indicates central African origins and subsequent expansion to the east in the Early-Middle Miocene. An expansion to the northern and southern savannas occurred between the Late Pliocene and the Middle Pleistocene.

Main conclusions
The results of this study clarify several questions related to the evolutionary history of the Galagidae in the context of sub-Saharan African biogeography. This study suggests that galagid evolution and diversification was affected by three major climatic episodes: (1) the global cooling and forest contraction in the Early Oligocene, (2) the forest expansion and the uplift of the African rifts in the Miocene and (3) the aridification and extension of open woodlands and savannas in the Late Miocene and Plio-Pleistocene."
