"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"A multilocus phylogeny reveals deep lineages within African galagids (Primates: Galagidae)","https://scispace.com/paper/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk","2014","Journal Article","BMC Evolutionary Biology","Luca Pozzi
Luca Pozzi
Todd R. Disotell
Judith C. Masters","10.1186/1471-2148-14-72","https://scispace.com/pdf/a-multilocus-phylogeny-reveals-deep-lineages-within-african-4jcpm12usk.pdf","Bushbabies (Galagidae) are among the most morphologically cryptic of all primates and their diversity and relationships are some of the most longstanding problems in primatology. Our knowledge of galagid evolutionary history has been limited by a lack of appropriate molecular data and a paucity of fossils. Most phylogenetic studies have produced conflicting results for many clades, and even the relationships among genera remain uncertain. To clarify galagid evolutionary history, we assembled the largest molecular dataset for galagos to date by sequencing 27 independent loci. We inferred phylogenetic relationships using concatenated maximum-likelihood and Bayesian analyses, and also coalescent-based species tree methods to account for gene tree heterogeneity due to incomplete lineage sorting. The genus Euoticus was identified as sister taxon to the rest of the galagids and the genus Galagoides was not recovered as monophyletic, suggesting that a new generic name for the Zanzibar complex is required. Despite the amount of genetic data collected in this study, the monophyly of the family Lorisidae remained poorly supported, probably due to the short internode between the Lorisidae/Galagidae split and the origin of the African and Asian lorisid clades. One major result was the relatively old origin for the most recent common ancestor of all living galagids soon after the Eocene-Oligocene boundary. Using a multilocus approach, our results suggest an early origin for the crown Galagidae, soon after the Eocene-Oligocene boundary, making Euoticus one of the oldest lineages within extant Primates. This result also implies that one – or possibly more – stem radiations diverged in the Late Eocene and persisted for several million years alongside members of the crown group.","studies should include longer loci in order to test the hypothesis of ILS in a coalescence framework. Longand likely more informative -loci have been suggested as advantageous for species tree estimation, especially when coalescent methods are used . Phylogenetic conclusions:
 The short length of the branch dividing crown lorisoids from lorisids raises interesting questions about the evolutionary history of this group. If lorises are indeed monophyletic, all their shared morphological, physiological, and ecological adaptations must have evolved relatively rapidly. Alternatively, the ""slow-climbing"" features of lorisid anatomy may be plesiomorphic for all lorisoids . Both the fossil record and reconstructions of the ancestral morphotype support the idea of a more generalized ancestor, with a progressive morphological separation between two related clades, the 'slow-climbing' lorises and the 'fast-leaping' galagos . A third hypothesis is that the unique morphological features shared by the African and Asian lorisids evolved in parallel in the two clades , making the lorises one of the most remarkable cases of parallel evolution within primates . Our phylogenetic analyses help to clarify several aspects of galagid relationships. First, this study provides strong support for the basal position of the enigmatic genus Euoticus within Galagidae  as opposed to a sister relationship between the needle-clawed galagos and members of the genus Galago . A possible explanation for these two alternative reconstructions is that ILS may affect the phylogenetic placement of Euoticus. All the studies that supported the close relationship between Euoticus and Galago were based on mitochondrial DNA, and it is possible that mitochondrial phylogeny disagrees with the rest of the genome, as is known for other primate groups . Unfortunately, complete mitochondrial genomes are available for only two galagid genera (Otolemur and Galago), and further studies are needed to explore the level of incongruence between mitochondrial and nuclear data. However, we believe ILS to be unlikely in this specific instance. First, the study conducted by Stiner and Turmelle  was also based on mitochondrial sequences and, since the mitochondrial genome behaves like a single locus, it is difficult to explain the discrepancy between phylogenies based on the same marker. Second, ILS is more likely to occur in cases of short internodes (little time between speciation events) and/or high effective population sizes . The branch lengths inferred from this study showed very long internodes between Euoticus and members of the genus Galago. An alternate hypothesis is that the inaccurate taxonomic allocation of Euoticus specimens may have affected some phylogenetic reconstructions. Inaccurate identifications of specimens in museum collections are quite common within galagids ."
"Mitochondrial Sequences as Indicators of Generic Classification in Bush Babies","https://scispace.com/paper/mitochondrial-sequences-as-indicators-of-generic-3bbhc200qx","2000","Journal Article","International Journal of Primatology","Massimiliano Delpero
Judith C. Masters
Dario Zuccon
Piero Cervella
S. Crovella
G. Ardito","10.1023/A:1005502927658","https://scispace.com/pdf/mitochondrial-sequences-as-indicators-of-generic-3bbhc200qx.pdf","Systematic relationships among the African bush babies are not well understood. Various generic designations are currently in use. Some authors refer all species to a single genus (Galago), while others recognize ≤4 genera. Phylogenetic reconstructions based on morphology, karyology, allozymes and vocal repertoires have generated inconsistent hypotheses of relationship. We analyzed partial sequences of three mitochondrial genes (270 bp from cytochrome b, 387 bp from 12S rRNA, and 241 bp from 16S rRNA, total 898 bp) to resolve some uncertainties. We sampled taxa from each of three genera: Galagoides alleni, G. demidoff and G. zanzibaricus; Galago senegalensis, G. gallarum and G. moholi; and Otolemur crassicaudatus and O. garnettii. Outgroup taxa were Asian lorises: Nycticebus coucang and Loris tardigradus. We analyzed sequences separately and in combination, and modeled phylogenies using maximum parsimony, weighted parsimony, neighbor-joining and maximum-likelihood. We obtained some variation in phylogenetic inference depending on sequence and analytical method, but the results also gave strong phylogenetic signals. The lesser bush babies invariably formed a clade, showing evidence of very recent radiation. The greater bush babies also formed a clade, marked by somewhat greater interspecific genetic distances, which was allied with Galagoides alleni in most instances. Galagoides demidoff and G. zanzibaricus are not closely related, though both diverged early in the history of the group. A genus comprising Galagoides alleni, G. demidoff and G. zanzibaricus is not supported by our data. The most likely alliance for Galagoides alleni is within the genus Otolemur. Of the three partial sequences employed in the study, 16S rRNA gave the most consistent results, while cytochrome b was least informative.","in Bush Babies Authors: M Delpero,J C Masters (Corresponding Author),D Zuccon,P Cervella,S Crovella,G Ardito Keywords: galago, bush baby, mitochondrial genes, phylogeny, systematics INTRODUCTION The Systematic Problem:
 The African bush babies, classified most consistently as a subfamily of the Loridae Gray, 1821 (ϭ Lorisidae Gregory, 1915)-subfamily Galagonina Gray, 1825 (ϭ Galaginae Mivart, 1864)-of the primate suborder Strepsirrhini, are among the most neglected groups of living primates. Their distribution in regions to which access is often difficult if not dangerous, and their shy, nocturnal habits have combined to obscure them from the notice of primatologists and systematists alike. For example, although Linnaeus included in his 10th edition a wide range of extant primate taxa, including cryptic animals like the slow loris, he was unaware of the existence of galagos. INTRODUCTION The Systematic Problem:
 Previous attempts at reconstructing galago phylogeny  yielded conflicting hypotheses of relationships . Taxonomy is inconsistently applied and appears to rest principally on two features: body size and the extent of prolongation of the premaxillae beyond the anterior margin of the lower jaw: essentially, the length of the rostrum. Thus in the most recent revision ) advocated three genera to comprise 11 species of bush babies. INTRODUCTION The Systematic Problem:
 Galagoides: dwarf galagos, and medium-sized galagos that show the same premaxillary elongation as found in their dwarf counterparts (including the species alleni, demidoff, thomasi, zanzibaricus) Galago: lesser galagos, with foreshortened muzzles  Otolemur: greater galagos, with robust muzzles lacking premaxillary extension  Taxonomic problems are exacerbated by questions of how many species are implied by the material in hand and how many still await discovery in the challenging African hinterland. INTRODUCTION The Systematic Problem:
 We obtained tissue samples from 8 species, representing all three genera: . We analyzed partial sequences from three mitochondrial genes, separately and in combination using several analytical techniques to investigate their potential to resolve uncertainties in galago systematics. The sequences were derived from two ribosomal genes, 16S and 12S rRNA, and a protein-coding gene, cytochrome b (cyt b). The genes and various sites within each gene are under different structural and functional constraints and thus will show very different patterns and rates of substitution . Previous studies have shown that sequences with relatively slow rates of change, such as the 12S rRNA gene, may be more appropriate for addressing deeper phylogenic questions, while genes with faster substitution rates, like cyt b, are suited to the resolution of relationships between more closely related species.  suggested that the extant radiation of bush babies is of a limited time depth, i.e., Plio-Pleistocene, with some very recent elements, e.g., the lesser bush baby radiation appears to have occurred within the last 1 Ma. Hence, we also sampled a highly variable portion of the 16S rRNA gene, which in some vertebrates has a mutation rate similar to the mitochondrial control region ."
"Molecular Evolutionary Characterization of a V1R Subfamily Unique to Strepsirrhine Primates","https://scispace.com/paper/molecular-evolutionary-characterization-of-a-v1r-subfamily-49kcs5tvsk","2014","Journal Article","Genome Biology and Evolution","Anne D. Yoder
Lauren M. Chan
Mario dos Reis
Peter A. Larsen
C. Ryan Campbell
Rodin M. Rasoloarison
Rodin M. Rasoloarison
Meredith A. Barrett
Christian Roos
Peter M. Kappeler
Joseph P. Bielawski
Ziheng Yang","10.1093/GBE/EVU006","https://scispace.com/pdf/molecular-evolutionary-characterization-of-a-v1r-subfamily-49kcs5tvsk.pdf","Vomeronasal receptor genes have frequently been invoked as integral to the establishment and maintenance of species boundaries among mammals due to the elaborate one-to-one correspondence between semiochemical signals and neuronal sensory inputs. Here, we report the most extensive sample of vomeronasal receptor class 1 (V1R) sequences ever generated for a diverse yet phylogenetically coherent group of mammals, the tooth-combed primates (suborder Strepsirrhini). Phylogenetic analysis confirms our intensive sampling from a single V1R subfamily, apparently unique to the strepsirrhine primates. We designate this subfamily as V1Rstrep. The subfamily retains extensive repertoires of gene copies that descend from an ancestral gene duplication that appears to have occurred prior to the diversification of all lemuriform primates excluding the basal genus Daubentonia (the aye-aye). We refer to the descendent clades as V1Rstrep-a and V1Rstrep-b. Comparison of the two clades reveals different amino acid compositions corresponding to the predicted ligand-binding site and thus potentially to altered functional profiles between the two. In agreement with previous studies of the mouse lemur (genus, Microcebus), the majority of V1Rstrep gene copies appear to be intact and under strong positive selection, particularly within transmembrane regions. Finally, despite the surprisingly high number of gene copies identified in this study, it is nonetheless probable that V1R diversity remains underestimated in these nonmodel primates and that complete characterization will be limited until high-coverage assembled genomes are available.","analysis, all nonstrepsirrhine primate sequences from that study (colored as described in the fig. ) are dispersed throughout several sequence clusters that also include cow, dog, rat, mouse, and platypus (fig. ). Discovery of a Unique V1R Subfamily:
 A recent study by  generated novel V1R sequences for M. murinus and for 10 additional mouse lemur species. Using phylogenetic methods, that study analyzed 105 of 107 sequences previously published by .  identified nine distinct clades of gray mouse lemur V1R sequences, one of which they hypothesize to be specific to the genus Microcebus (""Cluster 1"" in their fig. ). Maximum likelihood analysis of the V1R sequences generated by our study, along with those analyzed by  reveals that their Cluster I sequences belong to the diverse clade that we have identified as V1Rstrep (supplementary fig. , Supplementary Material online). Discovery of a Unique V1R Subfamily:
 We also analyzed a subset of our sequences along with V1R sequences from Mus to determine their relative   ) that subfamily G is relatively nonspecific in function, being equally responsive to hetero-and to conspecific stimuli. Retention of an Ancestral Gene Duplication:
 Phylogenetic analysis of V1Rstrep sequences reveals a number of conflicts between the gene tree and the ""nearly-known"" species tree (Yoder 2013)(fig. ). Although all three lorisiform species form species-specific clades that are hierarchically arranged as expected (i.e., the two bushbaby lineages, Otolemur and Galago, form a clade that excludes the slow loris Nycticebus), and all three together form a lorisiform clade that is basal to the lemuriform lineages, there are numerous gene tree/species tree discrepancies within the lemuriform clade. Although the sequences isolated from Daubentonia together form a clade that is basal to other lemuriforms, as would be expected, congruence with the species tree otherwise ends here. Most fundamentally, there appears to be an ancestral gene duplication that occurred after the divergence of aye-ayes and prior to the diversification of all other living lemurs. Although it is difficult to precisely identify a likely geological date for this duplication, it must have occurred after the basal diversification of the lemuriform clade and prior to the radiation of all extant lemuriform lineages excluding the ayeaye. This would place the duplication event sometime between 60 and 40 Ma )( fig. ). The two descendant lineages, which we have labeled as V1Rstrep-a and V1Rstrep-b, have persisted and further diversified since their ancestral divergence."
"Ecology and Habitat Use of the Endangered Primate Macaca maura (H.R. Schinz, 1825), Endemic to the Karst Forests of Sulawesi Island, Indonesia","https://scispace.com/paper/ecology-and-habitat-use-of-the-endangered-primate-macaca-631nt81imw","2015","Journal Article","","Alessandro Albani
Ngakan Putu Oka
Lavinia Germani
Monica Carosi","10.1159/000435825","https://scispace.com/pdf/ecology-and-habitat-use-of-the-endangered-primate-macaca-631nt81imw.pdf","","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
"Monitoring energy balance in yellow breasted capuchins (Sapajus xanthosternos) by measuring total T3 in non-invasively collected faecal samples","https://scispace.com/paper/monitoring-energy-balance-in-yellow-breasted-capuchins-bry63gxmrv","2015","Journal Article","","Franka Simea Schaebs
T.E. Wolf
Verena Behringer
Tobias Deschner","10.1159/000435825","https://scispace.com/pdf/monitoring-energy-balance-in-yellow-breasted-capuchins-bry63gxmrv.pdf","","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
"How intentional are chimpanzee vocalizations","https://scispace.com/paper/how-intentional-are-chimpanzee-vocalizations-52tub2h7he","2015","Journal Article","","Catherine Crockford
Roman M. Wittig
Klaus Zuberbühler","10.1159/000435825","https://scispace.com/pdf/how-intentional-are-chimpanzee-vocalizations-52tub2h7he.pdf","","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
"Behavioural flexibility by mountain gorillas when ranging on community land and feeding on crops","https://scispace.com/paper/behavioural-flexibility-by-mountain-gorillas-when-ranging-on-1pmko1ao0b","2015","Journal Article","","Nicole Seiler
Martha M. Robbins","10.1159/000435825","https://scispace.com/pdf/behavioural-flexibility-by-mountain-gorillas-when-ranging-on-1pmko1ao0b.pdf","","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
"The development of social and spatial independence: Do bonobos (Pan paniscus) and chimpanzees (Pan troglodytes) differ?","https://scispace.com/paper/the-development-of-social-and-spatial-independence-do-2rvd0bgd56","2015","Journal Article","","Marlen Fröhlich
Paul Kuchenbuch
Gottfried Hohmann
Takeshi Furuichi
Roman M. Wittig
Simone Pika","10.1159/000435825","https://scispace.com/pdf/the-development-of-social-and-spatial-independence-do-2rvd0bgd56.pdf","","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
"6th European Federation for Primatology Meeting, XXII Italian Association of Primatology Congress Rome, Italy, August 25-28, 2015: Abstracts","https://scispace.com/paper/6th-european-federation-for-primatology-meeting-xxii-italian-33ipfenetk","2015","Journal Article","Folia Primatologica","Robert D. Martin
Antonio Christian de A. Moura
Mewa Singh
Theethira S Kavana
Joseph J. Erinjery
Kuladip Sarma
Awadhesh Kumar
Murali Krishna
Mintu Medhi
Om Prakash Tripathi
Simon Furnell
Mary L. Blanchard
Robin H. Crompton
William I. Sellers
Adrian Barnett
Paulo J. P. Santos
Sarah A. Boyle
Bruna M. Bezerra
Eckhard W. Heymann
Satz Mengensatzproduktion
Druckerei Stückle","10.1159/000435825","https://scispace.com/pdf/6th-european-federation-for-primatology-meeting-xxii-italian-33ipfenetk.pdf","","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
"Primates and Bushmeat Hunting Around the High Niger National Park, Guinea, West Africa: Drivers and Patterns of Change","https://scispace.com/paper/primates-and-bushmeat-hunting-around-the-high-niger-national-lgmb6do4wl","2015","Journal Article","","Tatyana Humle
Alexandre Konate","10.1159/000435825","https://scispace.com/pdf/primates-and-bushmeat-hunting-around-the-high-niger-national-lgmb6do4wl.pdf","Bushmeat hunting contributes to the decline of primate species across Africa; however, few
studies have explored how such practises change over time in specific localities and how changes
in land-use patterns and economic drivers may enhance threats to primates in Muslim dominated
areas where, traditionally, primates are spared from such trade. The Haut Niger National
Park (HNNP) is one of only two national parks in the Republic of Guinea. The park is one of the
last remaining important formations of dry forest-savannah mosaics in West Africa and is a site
of high conservation priority for ungulates and the western subspecies of chimpanzee. This study
aimed to: (1) estimate the diversity and abundance of animal species sold for consumption across
several markets in and around the HNNP, (2) analyse the evolution of the bushmeat trade since
the mid-1990s, and (3) identify the players and drivers of the commercial bushmeat trade in the
area. Local market assessments were conducted across four village markets and in Faranah, one
of the closest urban areas abutting the HNNP. We successfully identified 5,807 wildlife carcasses
of 46 species and 22 families on markets surveyed over a 7 month period spanning both the dry
and wet seasons. In addition, semi-structured interviews with hunters, farmers and people involved
in the bushmeat trade helped identify more recent drivers of the bushmeat trade in the
HNNP. Our results indicated an increase in diversity of species targeted and the influence of
crop-foraging and local microcredit systems in exacerbating the presence of primate species sold
at bushmeat stalls in urban areas. Finally, whilst identifying key recommendations and gaps for
future research, this study emphasises the growing risks facing primates as targets for bushmeat
where people depend on agriculture and natural resource extraction for subsistence. This study
complied with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman
Primates in Research.","seems more apt to fulfil the task. Non-Human Primates in Laboratory Research: Against Simplicity: Searching for Cryptic Species: An Integrative Approach to Species Delimitation in Galagids (Primates: Galagidae) Luca Pozzi:
 Behavioural Ecology and Sociobiology Unit, German Primate Centre, Leibniz Institute for Primate Research, Göttingen, Germany E-Mail: lpozzi @ dpz.eu Describing species biodiversity is one of the main goals in evolutionary primatology. This is a critical task for exploring modes of speciation and for conservation biology. However, identifying species boundaries has proven to be particularly challenging for cryptic organisms where only subtle morphological variation is present. Research on cryptic species has recently increased exponentially due to the availability of molecular techniques and it has been suggested that biological diversity among these species is possibly much higher than expected based on purely morphological basis. However, over the last decade, the (ab)use of molecular tools led some researchers to suggest that the increase in species number is more a consequence of taxonomic inflation than actual diversity. Nocturnal galagids are among the most cryptic of all primates and -due to the lack of genetic data -species diversity has been described based mainly on acoustic behaviour leading to a controversial increase in the number of recognized species. The aim of this study is to investigate species boundaries in a highly cryptic complex, the Zanzibar dwarf galagos (genus Galagoides ), using an integrative approach. First, I use multilocus genetic data in a two-step approach including discovery and validation methods under a coalescence framework. I then compare the genetic results with bioacoustic data and species distribution models to explore the mechanisms involved in reproductive isolation and speciation. The results suggest that G. cocos and G. zanzibaricus represent two valid cryptic species that probably underwent speciation in the Mid-Pliocene ( ∼ 3.5 Ma) while fragmented in isolated populations in the Eastern African forests. Finally, I discuss the pros and cons of molecular methods and the importance of integrating multiple lines of evidence in delimiting species. This research complies with the International Primatological Society (IPS) Guidelines for the Use of Nonhuman Primates in Research."
