"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Resolving conflict in eutherian mammal phylogeny using phylogenomics and the multispecies coalescent model","https://scispace.com/paper/resolving-conflict-in-eutherian-mammal-phylogeny-using-2ebuzji3p6","2012","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Sen Song
Liang Liu
Scott V. Edwards
Shaoyuan Wu
Shaoyuan Wu","10.1073/PNAS.1211733109","https://www.pnas.org/doi/pdf/10.1073/pnas.1211733109","… phylogeny in previous studies. Using a phylogenetic, DNA-based analysis of eutherian mammal … concatenation methods can lead to phylogenetic results that are inherently incongruent, …","The reconstruction of the Tree of Life has relied almost entirely on concatenation methods, which do not accommodate gene tree heterogeneity, a property that simulations and theory have identified as a likely cause of incongruent phylogenies. However, this incongruence has not yet been demonstrated in empirical studies. Several key relationships among eutherian mammals remain controversial and conflicting among previous studies, including the root of eutherian tree and the relationships within Euarchontoglires and Laurasiatheria. Both Bayesian and maximum-likelihood analysis of genome-wide data of 447 nuclear genes from 37 species show that concatenation methods indeed yield strong incongruence in the phylogeny of eutherian mammals, as revealed by subsampling analyses of loci and taxa, which produced strongly conflicting topologies. In contrast, the coalescent methods, which accommodate gene tree heterogeneity, yield a phylogeny that is robust to variable gene and taxon sampling and is congruent with geographic data. The data also demonstrate that incomplete lineage sorting, a major source of gene tree heterogeneity, is relevant to deep-level phylogenies, such as those among eutherian mammals. Our results firmly place the eutherian root between Atlantogenata and Boreoeutheria and support ungulate polyphyly and a sister-group relationship between Scandentia and Primates. This study demonstrates that the incongruence introduced by concatenation methods is a major cause of long-standing uncertainty in the phylogeny of eutherian mammals, and the same may apply to other clades. Our analyses suggest that such incongruence can be resolved using phylogenomic data and coalescent methods that deal explicitly with gene tree heterogeneity."
"Algorithmic improvements to species delimitation and phylogeny estimation under the multispecies coalescent","https://scispace.com/paper/algorithmic-improvements-to-species-delimitation-and-498q3rfo5j","2017","Journal Article","Journal of Mathematical Biology","Graham Jones","10.1007/S00285-016-1034-0","https://www.biorxiv.org/content/biorxiv/early/2015/03/22/010199.full.pdf","… delimitations and species trees under the multispecies coalescent model using molecular sequences from multiple loci. The species delimitation requires no a priori assignment of …","The focus of this article is a Bayesian method for inferring both species delimitations and species trees under the multispecies coalescent model using molecular sequences from multiple loci The species delimitation requires no a priori assignment of individuals to species, and no guide tree The method is implemented in a package called STACEY for BEAST2, and is a extension of the author's DISSECT package Here we demonstrate considerable efficiency improvements by using three new operators for sampling from the posterior using the Markov chain Monte Carlo algorithm, and by using a model for the population size parameters along the branches of the species tree which allows these parameters to be integrated out The correctness of the moves is demonstrated by tests of the implementation The practice of using a pipeline approach to species delimitation under the multispecies coalescent, has been shown to have major problems on simulated data (Olave et al in Syst Biol 63:263-271 doi: 101093/sysbio/syt106 , 2014) The same simulated data set is used to demonstrate the accuracy and improved convergence of the present method We also compare performance with *BEAST for a fixed delimitation analysis on a large data set, and again show improved convergence"
"Modern phylogenomics: building phylogenetic trees using the multispecies coalescent model","https://scispace.com/paper/modern-phylogenomics-building-phylogenetic-trees-using-the-2mvx16znnx","2019","Book Chapter","Methods of Molecular Biology","Liang Liu
Christian N. Anderson
Dennis K. Pearl
Scott V. Edwards","10.1007/978-1-4939-9074-0_7","https://link.springer.com/content/pdf/10.1007/978-1-4939-9074-0_7.pdf","… the multispecies coalescent model [72]. The recent suggestion that coalescent species delimitation … , with confusion stemming largely from the term “species delimitation,” as opposed to “…","The multispecies coalescent (MSC) model provides a compelling framework for building phylogenetic trees from multilocus DNA sequence data. The pure MSC is best thought of as a special case of so-called ""multispecies network coalescent"" models, in which gene flow is allowed among branches of the tree, whereas MSC methods assume there is no gene flow between diverging species. Early implementations of the MSC, such as ""parsimony"" or ""democratic vote"" approaches to combining information from multiple gene trees, as well as concatenation, in which DNA sequences from multiple gene trees are combined into a single ""supergene,"" were quickly shown to be inconsistent in some regions of tree space, in so far as they converged on the incorrect species tree as more gene trees and sequence data were accumulated. The anomaly zone, a region of tree space in which the most frequent gene tree is different from the species tree, is one such region where many so-called ""coalescent"" methods are inconsistent. Second-generation implementations of the MSC employed Bayesian or likelihood models; these are consistent in all regions of gene tree space, but Bayesian methods in particular are incapable of handling the large phylogenomic data sets currently available. Two-step methods, such as MP-EST and ASTRAL, in which gene trees are first estimated and then combined to estimate an overarching species tree, are currently popular in part because they can handle large phylogenomic data sets. These methods are consistent in the anomaly zone but can sometimes provide inappropriate measures of tree support or apportion error and signal in the data inappropriately. MP-EST in particular employs a likelihood model which can be conveniently manipulated to perform statistical tests of competing species trees, incorporating the likelihood of the collected gene trees on each species tree in a likelihood ratio test. Such tests provide a useful alternative to the multilocus bootstrap, which only indirectly tests the appropriateness of competing species trees. We illustrate these tests and implementations of the MSC with examples and suggest that MSC methods are a useful class of models effectively using information from multiple loci to build phylogenetic trees."
"Species Delimitation Using a Combined Coalescent and Information-Theoretic Approach: An Example from North American Myotis Bats","https://scispace.com/paper/species-delimitation-using-a-combined-coalescent-and-68irirg8kn","2010","Journal Article","Systematic Biology","Bryan C. Carstens
Tanya A. Dewey","10.1093/SYSBIO/SYQ024","https://academic.oup.com/sysbio/article-pdf/59/4/400/24207142/syq024.pdf","… species delimitation as well as other assumptions that are common to the model-based approaches to species phylogeny … when designing a coalescent-based method to estimate gene …","Coalescent model-based methods for phylogeny estimation force systematists to confront issues related to the identification of species boundaries. Unlike conventional phylogenetic analysis, where species membership can be assessed qualitatively after the phylogeny is estimated, the phylogenies that are estimated under a coalescent model treat aggregates of individuals as the operational taxonomic units and thus require a priori definition of these sets because the models assume that the alleles in a given lineage are sampled from a single panmictic population. Fortunately, the use of coalescent model-based approaches allows systematists to conduct probabilistic tests of species limits by calculating the probability of competing models of lineage composition. Here, we conduct the first exploration of the issues related to applying such tests to a complex empirical system. Sequence data from multiple loci were used to assess species limits and phylogeny in a clade of North American Myotis bats. After estimating gene trees at each locus, the likelihood of models representing all hierarchical permutations of lineage composition was calculated and Akaike information criterion scores were computed. Metrics borrowed from information theory suggest that there is strong support for several models that include multiple evolutionary lineages within the currently described species Myotis lucifugus and M. evotis. Although these results are preliminary, they illustrate the practical importance of coupled species delimitation and phylogeny estimation."
"Multispecies coalescent delimits structure, not species","https://scispace.com/paper/multispecies-coalescent-delimits-structure-not-species-ptx3ltjkat","2017","Journal Article","Proceedings of the National Academy of Sciences of the United States of America","Jeet Sukumaran
L. Lacey Knowles","10.1073/PNAS.1607921114","https://www.pnas.org/doi/pdf/10.1073/pnas.1607921114","… robustness of species delimitation under the multispecies coalescent model when speciation … The phylogenies sampled from the protracted speciation process in the previous step were …","The multispecies coalescent model underlies many approaches used for species delimitation. In previous work assessing the performance of species delimitation under this model, speciation was treated as an instantaneous event rather than as an extended process involving distinct phases of speciation initiation (structuring) and completion. Here, we use data under simulations that explicitly model speciation as an extended process rather than an instantaneous event and carry out species delimitation inference on these data under the multispecies coalescent. We show that the multispecies coalescent diagnoses genetic structure, not species, and that it does not statistically distinguish structure associated with population isolation vs. species boundaries. Because of the misidentification of population structure as putative species, our work raises questions about the practice of genome-based species discovery, with cascading consequences in other fields. Specifically, all fields that rely on species as units of analysis, from conservation biology to studies of macroevolutionary dynamics, will be impacted by inflated estimates of the number of species, especially as genomic resources provide unprecedented power for detecting increasingly finer-scaled genetic structure under the multispecies coalescent. As such, our work also represents a general call for systematic study to reconsider a reliance on genomic data alone. Until new methods are developed that can discriminate between structure due to population-level processes and that due to species boundaries, genomic-based results should only be considered a hypothesis that requires validation of delimited species with multiple data types, such as phenotypic and ecological information."
"Revisiting the Multispecies Coalescent Model Fit with an Example from a Complete Molecular Phylogeny of the Liolaemus wiegmannii Species Group (Squamata …","https://scispace.com/paper/FK7bJPYScPsJ","","","","J Villamil
M Morando
LJ Avila
FM Lanna","","","… wiegmannii group has also been partially sampled in previous phylogenetic studies using … Based on the estimated phylogenetic network and the species tree, we simulated data that …",""
"Species in the Time of Big Data: The multi-Species Coalescent, the General Lineage Concept, and Species Delimitation","https://scispace.com/paper/PE_2zcKROa8J","","","","A Quinn","","","… With respect to both species delimitation and the phylogeny … hood framework; thus, phylogenetic inference is not easily … Implementing and testing the multispecies coalescent model: …",""
"An empirical comparison of character‐based and coalescent‐based approaches to species delimitation in a young avian complex","https://scispace.com/paper/an-empirical-comparison-of-character-based-and-coalescent-14hbk9qxqo","2013","Journal Article","Molecular Ecology","Bailey D. McKay
Herman L. Mays
Yuchun Wu
Hui Li
Cheng-Te Yao
Isao Nishiumi
Fasheng Zou","10.1111/MEC.12446","https://www.academia.edu/download/52104612/An_empirical_comparison_of_character-bas20170310-32203-ru1gjv.pdf","… coalescent-based methods of species delimitation aimed at objectively identifying species … Phylogenetics and Phylogeography (BPP), a coalescent-based method of species delimitation…","The process of discovering species is a fundamental responsibility of systematics. Recently, there has been a growing interest in coalescent-based methods of species delimitation aimed at objectively identifying species early in the divergence process. However, few empirical studies have compared these new methods with character-based approaches for discovering species. In this study, we applied both a character-based and a coalescent-based approaches to delimit species in a closely related avian complex, the light-vented/Taiwan bulbul (Pycnonotus sinensis/Pycnonotus taivanus). Population aggregation analyses of plumage, mitochondrial and 13 nuclear intron character data sets produced conflicting species hypotheses with plumage data suggesting three species, mitochondrial data suggesting two species, and nuclear intron data suggesting one species. Such conflict is expected among recently diverged species, and by integrating all sources of data, we delimited three species verified with independently congruent character evidence as well as a more weakly supported fourth species identified by a single character. Attempts to validate species hypothesis using Bayesian Phylogenetics and Phylogeography (BPP), a coalescent-based method of species delimitation, revealed several issues that can seemingly affect statistical support for species recognition. We found that θ priors had a dramatic impact on speciation probabilities, with lower values consistently favouring splitting and higher values consistently favouring lumping. More resolved guide trees also resulted in overall higher speciation probabilities. Finally, we found suggestive evidence that BPP is sensitive to the divergent effects of nonrandom mating caused by intraspecific processes such as isolation-with-distance, and therefore, BPP may not be a conservative method for delimiting independently evolving population lineages. Based on these concerns, we questioned the reliability of BPP results and based our conclusions about species limits exclusively on character data."
"Multispecies coalescent and its applications to infer species phylogenies and cross-species gene flow","https://scispace.com/paper/multispecies-coalescent-and-its-applications-to-infer-3c70cd0uo3","2021","Journal Article","National Science Review","Xiyun Jiao
Xiyun Jiao
Tomas Flouri
Ziheng Yang","10.1093/NSR/NWAB127","https://academic.oup.com/nsr/article-pdf/8/12/nwab127/41890827/nwab127.pdf","… flow), estimation of species phylogeny accommodating heterogeneous gene genealogies … species boundaries (species delimitation) [9–12]. In molecular phylogenetics, incorporation of …","Abstract Multispecies coalescent (MSC) is the extension of the single-population coalescent model to multiple species. It integrates the phylogenetic process of species divergences and the population genetic process of coalescent, and provides a powerful framework for a number of inference problems using genomic sequence data from multiple species, including estimation of species divergence times and population sizes, estimation of species trees accommodating discordant gene trees, inference of cross-species gene flow and species delimitation. In this review, we introduce the major features of the MSC model, discuss full-likelihood and heuristic methods of species tree estimation and summarize recent methodological advances in inference of cross-species gene flow. We discuss the statistical and computational challenges in the field and research directions where breakthroughs may be likely in the next few years."
"Coalescent-based species delimitation in an integrative taxonomy","https://scispace.com/paper/coalescent-based-species-delimitation-in-an-integrative-3xkcvsjlwh","2012","Journal Article","Trends in Ecology and Evolution","Matthew K. Fujita
Adam D. Leaché
Frank T. Burbrink
Jimmy A. McGuire
Craig Moritz","10.1016/J.TREE.2012.04.012","https://faculty.washington.edu/leache/wordpress/wp-content/uploads/2014/06/2012TREE.pdf","… history, and the multispecies coalescent model [17] is now used widely in phylogenetic and species delimitation methods [18,23,31]. The multispecies coalescent model tracks the …","The statistical rigor of species delimitation has increased dramatically over the past decade. Coalescent theory provides powerful models for population genetic inference, and is now increasingly important in phylogenetics and speciation research. By applying probabilistic models, coalescent-based species delimitation provides clear and objective testing of alternative hypotheses of evolutionary independence. As acquisition of multilocus data becomes increasingly automated, coalescent-based species delimitation will improve the discovery, resolution, consistency, and stability of the taxonomy of species. Along with other tools and data types, coalescent-based species delimitation will play an important role in an integrative taxonomy that emphasizes the identification of species limits and the processes that have promoted lineage diversification."
